Charge_Cycles,Voltage,Temperature,Capacity,Battery_Health
100,4.15,25,100,Healthy
150,4.12,26,99,Healthy
200,4.10,27,98,Healthy
250,4.08,28,96,Healthy
300,4.05,29,94,Healthy
350,4.02,30,92,Healthy
400,3.98,31,89,Weak
450,3.95,32,86,Weak
500,3.92,34,82,Weak
550,3.88,36,78,Critical
120,4.14,24,99,Healthy
180,4.11,26,98,Healthy
230,4.09,27,97,Healthy
280,4.06,29,95,Healthy
330,4.03,30,93,Healthy
380,4.00,31,90,Weak
430,3.97,33,87,Weak
480,3.94,34,84,Weak
530,3.90,35,80,Critical
580,3.86,38,75,Critical
140,4.13,25,99,Healthy
210,4.09,27,97,Healthy
270,4.07,28,95,Healthy
320,4.04,30,93,Healthy
370,4.01,31,91,Weak
420,3.98,32,88,Weak
470,3.95,34,84,Weak
520,3.91,36,79,Critical
570,3.87,37,74,Critical
620,3.83,40,68,Critical
