Fuel_Level,Distance,Engine_Status,Time,Fuel_Status
85,10,1,8,Normal
78,25,1,9,Normal
70,40,1,10,Normal
65,55,1,11,Normal
60,70,1,12,Normal
55,85,1,13,Normal
50,100,1,14,Normal
45,120,1,15,Normal
40,140,1,16,Normal
35,160,1,17,Normal
80,20,1,8,Normal
72,35,1,9,Normal
68,50,1,10,Normal
62,65,1,11,Normal
58,80,1,12,Normal
52,95,1,13,Normal
48,110,1,14,Normal
42,130,1,15,Normal
38,150,1,16,Normal
32,170,1,17,Normal
75,15,1,18,Normal
67,45,1,19,Normal
59,75,1,20,Normal
51,105,1,21,Normal
44,135,1,22,Normal
36,165,1,23,Normal
30,190,1,0,Suspicious
25,220,1,1,Suspicious
20,250,1,2,Suspicious
15,280,1,3,Suspicious
