Tread_Depth,Mileage,Pressure,Age,Replacement
8.5,5000,35,1,Continue
8.2,8000,35,1,Continue
7.9,11000,34,1,Continue
7.6,14000,34,2,Continue
7.3,17000,33,2,Continue
7.0,20000,33,2,Continue
6.7,23000,32,3,Continue
6.4,26000,32,3,Continue
6.1,29000,31,3,Continue
5.8,32000,31,4,Continue
5.5,35000,30,4,Continue
5.2,38000,30,4,Continue
4.9,41000,29,5,Continue
4.6,44000,29,5,Continue
4.3,47000,28,5,Continue
4.0,50000,28,6,Continue
3.8,53000,27,6,Replace
3.6,56000,27,6,Replace
3.4,59000,26,7,Replace
3.2,62000,26,7,Replace
3.0,65000,25,7,Replace
2.8,68000,25,8,Replace
2.6,71000,24,8,Replace
2.4,74000,24,8,Replace
2.2,77000,23,9,Replace
8.0,9000,34,2,Continue
7.5,16000,33,2,Continue
6.8,24000,32,3,Continue
5.9,33000,31,4,Continue
4.8,42000,30,5,Continue
3.7,51000,28,6,Replace
3.1,60000,27,7,Replace
2.5,69000,25,8,Replace
2.1,78000,24,9,Replace
1.8,85000,22,10,Replace
